# L 100GHzx100GHz
2.0000000000000000e+00 2.6794080000000001e-02
3.0000000000000000e+00 -5.4560000000000003e-04
4.0000000000000000e+00 6.6337399999999999e-03
5.0000000000000000e+00 5.8027199999999999e-03
6.0000000000000000e+00 9.8875800000000000e-03
7.0000000000000000e+00 1.3620169999999999e-02
8.0000000000000000e+00 1.1469109999999999e-02
9.0000000000000000e+00 1.1233920000000000e-02
1.0000000000000000e+01 1.7241019999999999e-02
1.1000000000000000e+01 2.2480370000000000e-02
1.2000000000000000e+01 1.8647930000000000e-02
1.3000000000000000e+01 2.5884370000000000e-02
1.4000000000000000e+01 2.4540989999999999e-02
1.5000000000000000e+01 2.2751230000000001e-02
1.6000000000000000e+01 3.0415720000000000e-02
1.7000000000000000e+01 3.1511240000000003e-02
1.8000000000000000e+01 3.3426249999999998e-02
1.9000000000000000e+01 4.1767949999999998e-02
2.0000000000000000e+01 3.7587750000000003e-02
2.1000000000000000e+01 4.9124780000000000e-02
2.2000000000000000e+01 4.8781550000000000e-02
2.3000000000000000e+01 5.3547570000000003e-02
2.4000000000000000e+01 5.5611200000000000e-02
2.5000000000000000e+01 6.5267389999999995e-02
2.6000000000000000e+01 7.3756459999999996e-02
2.7000000000000000e+01 6.4707399999999998e-02
2.8000000000000000e+01 7.3110449999999993e-02
2.9000000000000000e+01 7.6370679999999996e-02
