# L 100_143x100_143
2.0000000000000000e+00 5.3164530000000002e-02
3.0000000000000000e+00 5.4940000000000003e-02
4.0000000000000000e+00 2.0477360000000000e-02
5.0000000000000000e+00 4.6084590000000002e-02
6.0000000000000000e+00 1.5593420000000000e-02
7.0000000000000000e+00 8.8085799999999999e-03
8.0000000000000000e+00 4.8844800000000001e-03
9.0000000000000000e+00 -3.0841000000000001e-04
1.0000000000000000e+01 -1.0232100000000001e-03
1.1000000000000000e+01 -4.7969900000000001e-03
1.2000000000000000e+01 -1.0797559999999999e-02
1.3000000000000000e+01 1.3420919999999999e-02
1.4000000000000000e+01 -8.5551599999999992e-03
1.5000000000000000e+01 -2.6954100000000001e-03
1.6000000000000000e+01 -1.5052500000000001e-03
1.7000000000000000e+01 1.1162850000000000e-02
1.8000000000000000e+01 3.8613599999999999e-03
1.9000000000000000e+01 8.3563100000000005e-03
2.0000000000000000e+01 -9.5423200000000000e-03
2.1000000000000000e+01 1.8996170000000000e-02
2.2000000000000000e+01 5.5301899999999999e-03
2.3000000000000000e+01 2.9810099999999999e-02
2.4000000000000000e+01 2.9819570000000000e-02
2.5000000000000000e+01 3.7378830000000002e-02
2.6000000000000000e+01 3.0472579999999999e-02
2.7000000000000000e+01 2.5064759999999998e-02
2.8000000000000000e+01 3.2270409999999999e-02
2.9000000000000000e+01 1.0516889999999999e-02
