# L 100_143x100_143
2.0000000000000000e+00 6.5658469999999997e-02
3.0000000000000000e+00 1.6993979999999999e-02
4.0000000000000000e+00 1.6204750000000000e-02
5.0000000000000000e+00 9.6657400000000008e-03
6.0000000000000000e+00 1.8952409999999999e-02
7.0000000000000000e+00 1.6966370000000001e-02
8.0000000000000000e+00 1.4826499999999999e-02
9.0000000000000000e+00 1.9430900000000001e-02
1.0000000000000000e+01 1.7759850000000001e-02
1.1000000000000000e+01 1.9320710000000001e-02
1.2000000000000000e+01 2.1983309999999999e-02
1.3000000000000000e+01 2.1281280000000000e-02
1.4000000000000000e+01 1.9552159999999999e-02
1.5000000000000000e+01 2.0734079999999998e-02
1.6000000000000000e+01 2.4613170000000000e-02
1.7000000000000000e+01 2.7946519999999999e-02
1.8000000000000000e+01 2.6246010000000000e-02
1.9000000000000000e+01 2.8444580000000001e-02
2.0000000000000000e+01 2.9682489999999999e-02
2.1000000000000000e+01 2.9127330000000000e-02
2.2000000000000000e+01 3.2841879999999997e-02
2.3000000000000000e+01 3.4830159999999999e-02
2.4000000000000000e+01 4.1863100000000000e-02
2.5000000000000000e+01 3.5182640000000001e-02
2.6000000000000000e+01 4.0514240000000000e-02
2.7000000000000000e+01 3.2081619999999998e-02
2.8000000000000000e+01 3.8025610000000001e-02
2.9000000000000000e+01 4.5302540000000002e-02
