# L 100_WLx100_WL
2.0000000000000000e+00 -1.3894920000000000e-02
3.0000000000000000e+00 3.3264610000000000e-02
4.0000000000000000e+00 9.8261300000000006e-03
5.0000000000000000e+00 7.3999449999999994e-02
6.0000000000000000e+00 3.7074800000000000e-03
7.0000000000000000e+00 -1.7817409999999999e-02
8.0000000000000000e+00 9.8154399999999999e-03
9.0000000000000000e+00 2.2052920000000000e-02
1.0000000000000000e+01 3.0650299999999998e-03
1.1000000000000000e+01 -6.5775399999999998e-03
1.2000000000000000e+01 3.3295000000000000e-03
1.3000000000000000e+01 3.0389300000000000e-03
1.4000000000000000e+01 6.4182900000000001e-03
1.5000000000000000e+01 5.5518499999999997e-03
1.6000000000000000e+01 -2.1356730000000001e-02
1.7000000000000000e+01 1.9871929999999999e-02
1.8000000000000000e+01 3.2377000000000003e-02
1.9000000000000000e+01 -1.9234480000000002e-02
2.0000000000000000e+01 2.4447699999999999e-02
2.1000000000000000e+01 6.8755079999999996e-02
2.2000000000000000e+01 1.0855380000000000e-02
2.3000000000000000e+01 7.1438300000000003e-03
2.4000000000000000e+01 1.2137570000000000e-02
2.5000000000000000e+01 9.2171110000000001e-02
2.6000000000000000e+01 7.4335529999999997e-02
2.7000000000000000e+01 2.4982300000000002e-03
2.8000000000000000e+01 1.8906920000000001e-02
2.9000000000000000e+01 6.8280370000000007e-02
