# L 143GHzx143GHz
2.0000000000000000e+00 3.4713000000000001e-02
3.0000000000000000e+00 4.7268299999999999e-02
4.0000000000000000e+00 4.3712780000000000e-02
5.0000000000000000e+00 3.1238860000000000e-02
6.0000000000000000e+00 1.8494179999999999e-02
7.0000000000000000e+00 1.0039400000000000e-02
8.0000000000000000e+00 6.0499899999999999e-03
9.0000000000000000e+00 4.6280899999999996e-03
1.0000000000000000e+01 4.0157800000000000e-03
1.1000000000000000e+01 3.4571300000000001e-03
1.2000000000000000e+01 2.9561800000000001e-03
1.3000000000000000e+01 2.6887199999999999e-03
1.4000000000000000e+01 2.6858600000000000e-03
1.5000000000000000e+01 2.8491400000000000e-03
1.6000000000000000e+01 3.0752800000000001e-03
1.7000000000000000e+01 3.3827800000000002e-03
1.8000000000000000e+01 3.8185599999999999e-03
1.9000000000000000e+01 4.4240800000000004e-03
2.0000000000000000e+01 5.2116899999999997e-03
2.1000000000000000e+01 6.1633100000000000e-03
2.2000000000000000e+01 7.2709300000000001e-03
2.3000000000000000e+01 8.5249000000000002e-03
2.4000000000000000e+01 9.9240900000000000e-03
2.5000000000000000e+01 1.1472100000000001e-02
2.6000000000000000e+01 1.3177110000000001e-02
2.7000000000000000e+01 1.5036269999999999e-02
2.8000000000000000e+01 1.7032550000000000e-02
2.9000000000000000e+01 1.9201940000000001e-02
