# L 143GHzx143GHz
2.0000000000000000e+00 8.7483950000000005e-02
3.0000000000000000e+00 4.7814179999999998e-02
4.0000000000000000e+00 2.7827490000000000e-02
5.0000000000000000e+00 4.8328969999999999e-02
6.0000000000000000e+00 3.9728250000000000e-02
7.0000000000000000e+00 1.2453320000000000e-02
8.0000000000000000e+00 2.0748140000000002e-02
9.0000000000000000e+00 1.2388669999999999e-02
1.0000000000000000e+01 2.8427740000000000e-02
1.1000000000000000e+01 1.7520060000000000e-02
1.2000000000000000e+01 1.5910970000000000e-02
1.3000000000000000e+01 3.7291110000000002e-02
1.4000000000000000e+01 3.5138160000000002e-02
1.5000000000000000e+01 3.3397139999999999e-02
1.6000000000000000e+01 1.4822580000000000e-02
1.7000000000000000e+01 4.1694729999999999e-02
1.8000000000000000e+01 3.4261809999999997e-02
1.9000000000000000e+01 2.5920690000000000e-02
2.0000000000000000e+01 5.9558119999999999e-02
2.1000000000000000e+01 7.0767549999999999e-02
2.2000000000000000e+01 3.0548610000000000e-02
2.3000000000000000e+01 5.2336639999999997e-02
2.4000000000000000e+01 3.5025239999999999e-02
2.5000000000000000e+01 9.0698210000000001e-02
2.6000000000000000e+01 1.0681738000000000e-01
2.7000000000000000e+01 7.1748930000000002e-02
2.8000000000000000e+01 1.2253491000000000e-01
2.9000000000000000e+01 1.2655010999999999e-01
