# L 143GHzx143GHz
2.0000000000000000e+00 6.3394000000000005e-04
3.0000000000000000e+00 1.5955879999999999e-02
4.0000000000000000e+00 9.4998099999999992e-03
5.0000000000000000e+00 8.3311900000000005e-03
6.0000000000000000e+00 0.0000000000000000e+00
7.0000000000000000e+00 3.3112100000000002e-03
8.0000000000000000e+00 4.4382600000000003e-03
9.0000000000000000e+00 5.9631299999999996e-03
1.0000000000000000e+01 4.5884699999999999e-03
1.1000000000000000e+01 4.9032600000000004e-03
1.2000000000000000e+01 3.5786799999999999e-03
1.3000000000000000e+01 6.2553799999999996e-03
1.4000000000000000e+01 4.0993300000000000e-03
1.5000000000000000e+01 7.9807400000000001e-03
1.6000000000000000e+01 4.2938300000000002e-03
1.7000000000000000e+01 8.9043400000000002e-03
1.8000000000000000e+01 5.4336300000000001e-03
1.9000000000000000e+01 4.2580800000000000e-03
2.0000000000000000e+01 7.0282000000000005e-04
2.1000000000000000e+01 0.0000000000000000e+00
2.2000000000000000e+01 1.0275740000000000e-02
2.3000000000000000e+01 0.0000000000000000e+00
2.4000000000000000e+01 0.0000000000000000e+00
2.5000000000000000e+01 0.0000000000000000e+00
2.6000000000000000e+01 0.0000000000000000e+00
2.7000000000000000e+01 0.0000000000000000e+00
2.8000000000000000e+01 0.0000000000000000e+00
2.9000000000000000e+01 0.0000000000000000e+00
