# L 143_WLx143_WL
2.0000000000000000e+00 4.8411320000000001e-02
3.0000000000000000e+00 1.5808989999999998e-02
4.0000000000000000e+00 2.1162540000000001e-02
5.0000000000000000e+00 3.0853809999999999e-02
6.0000000000000000e+00 2.4656200000000000e-02
7.0000000000000000e+00 3.1547430000000001e-02
8.0000000000000000e+00 2.8675820000000001e-02
9.0000000000000000e+00 3.4018000000000000e-02
1.0000000000000000e+01 3.7039879999999997e-02
1.1000000000000000e+01 3.5563409999999997e-02
1.2000000000000000e+01 5.4393810000000001e-02
1.3000000000000000e+01 5.7903080000000003e-02
1.4000000000000000e+01 5.6316669999999999e-02
1.5000000000000000e+01 5.4079080000000002e-02
1.6000000000000000e+01 5.5406759999999999e-02
1.7000000000000000e+01 6.0590560000000002e-02
1.8000000000000000e+01 6.6233790000000001e-02
1.9000000000000000e+01 6.1626210000000001e-02
2.0000000000000000e+01 7.3020240000000000e-02
2.1000000000000000e+01 6.2720479999999995e-02
2.2000000000000000e+01 7.9898360000000002e-02
2.3000000000000000e+01 9.9190089999999995e-02
2.4000000000000000e+01 7.5851089999999996e-02
2.5000000000000000e+01 7.9606129999999997e-02
2.6000000000000000e+01 9.1938210000000006e-02
2.7000000000000000e+01 1.1670216000000000e-01
2.8000000000000000e+01 1.0713527000000000e-01
2.9000000000000000e+01 1.1492756000000000e-01
