# L WLxWL
2.0000000000000000e+00 3.5147409999999997e-02
3.0000000000000000e+00 2.1218910000000001e-02
4.0000000000000000e+00 6.6077100000000000e-02
5.0000000000000000e+00 9.0629130000000002e-02
6.0000000000000000e+00 1.8518270000000000e-02
7.0000000000000000e+00 2.2509950000000001e-02
8.0000000000000000e+00 4.9667719999999999e-02
9.0000000000000000e+00 8.2694350000000000e-02
1.0000000000000000e+01 7.5391710000000001e-02
1.1000000000000000e+01 5.7229439999999999e-02
1.2000000000000000e+01 7.1709149999999999e-02
1.3000000000000000e+01 1.1813074000000000e-01
1.4000000000000000e+01 1.2345979000000000e-01
1.5000000000000000e+01 9.0593080000000006e-02
1.6000000000000000e+01 1.2347481000000000e-01
1.7000000000000000e+01 2.3457159999999999e-01
1.8000000000000000e+01 1.3865865999999999e-01
1.9000000000000000e+01 1.5192423999999999e-01
2.0000000000000000e+01 1.2407823000000000e-01
2.1000000000000000e+01 2.6516819000000003e-01
2.2000000000000000e+01 2.0276034000000001e-01
2.3000000000000000e+01 2.1081649000000000e-01
2.4000000000000000e+01 1.5079119999999999e-01
2.5000000000000000e+01 3.6785006999999997e-01
2.6000000000000000e+01 4.4306950000000001e-01
2.7000000000000000e+01 2.7825372999999998e-01
2.8000000000000000e+01 4.4641198999999998e-01
2.9000000000000000e+01 4.5828094000000003e-01
