# L WLxWL
2.0000000000000000e+00 1.1601920000000000e-02
3.0000000000000000e+00 7.0723299999999999e-03
4.0000000000000000e+00 1.4098420000000000e-02
5.0000000000000000e+00 2.9867169999999998e-02
6.0000000000000000e+00 2.1766979999999998e-02
7.0000000000000000e+00 4.4710270000000003e-02
8.0000000000000000e+00 3.7428509999999998e-02
9.0000000000000000e+00 4.8529129999999997e-02
1.0000000000000000e+01 5.6936189999999998e-02
1.1000000000000000e+01 5.7812669999999997e-02
1.2000000000000000e+01 8.3879280000000001e-02
1.3000000000000000e+01 8.2793329999999998e-02
1.4000000000000000e+01 9.6341430000000006e-02
1.5000000000000000e+01 1.1553832999999999e-01
1.6000000000000000e+01 1.1638008000000000e-01
1.7000000000000000e+01 1.4425126999999999e-01
1.8000000000000000e+01 1.4908123000000001e-01
1.9000000000000000e+01 1.7226621000000000e-01
2.0000000000000000e+01 1.8353984000000001e-01
2.1000000000000000e+01 2.0119801000000001e-01
2.2000000000000000e+01 2.2993564999999999e-01
2.3000000000000000e+01 2.4267363000000000e-01
2.4000000000000000e+01 2.7226278999999998e-01
2.5000000000000000e+01 2.7776991000000001e-01
2.6000000000000000e+01 3.0480001000000001e-01
2.7000000000000000e+01 3.3180862000000000e-01
2.8000000000000000e+01 3.5190999000000001e-01
2.9000000000000000e+01 3.8101118000000000e-01
