# L WLxWL
2.0000000000000000e+00 6.4407300000000004e-03
3.0000000000000000e+00 1.1825520000000001e-02
4.0000000000000000e+00 6.5079900000000000e-03
5.0000000000000000e+00 7.4830000000000001e-03
6.0000000000000000e+00 9.5684600000000009e-03
7.0000000000000000e+00 1.4758290000000000e-02
8.0000000000000000e+00 2.0348290000000002e-02
9.0000000000000000e+00 1.4817840000000001e-02
1.0000000000000000e+01 2.0432889999999999e-02
1.1000000000000000e+01 3.4036549999999999e-02
1.2000000000000000e+01 1.2500819999999999e-02
1.3000000000000000e+01 1.4422410000000000e-02
1.4000000000000000e+01 1.9449649999999999e-02
1.5000000000000000e+01 7.0915300000000004e-03
1.6000000000000000e+01 3.1630900000000003e-02
1.7000000000000000e+01 7.9798000000000004e-03
1.8000000000000000e+01 0.0000000000000000e+00
1.9000000000000000e+01 7.7046199999999997e-03
2.0000000000000000e+01 9.2417899999999997e-03
2.1000000000000000e+01 2.8969700000000001e-02
2.2000000000000000e+01 0.0000000000000000e+00
2.3000000000000000e+01 0.0000000000000000e+00
2.4000000000000000e+01 0.0000000000000000e+00
2.5000000000000000e+01 4.2213500000000001e-02
2.6000000000000000e+01 0.0000000000000000e+00
2.7000000000000000e+01 0.0000000000000000e+00
2.8000000000000000e+01 0.0000000000000000e+00
2.9000000000000000e+01 0.0000000000000000e+00
