# L 100GHzx100GHz 100GHzx143GHz 100GHzxWL 143GHzx143GHz 143GHzxWL WLxWL
2.0000000000000000e+00 4.4140199999999997e-02 5.3164530000000002e-02 -1.3894920000000000e-02 8.7483950000000005e-02 -6.4403899999999998e-03 3.5147409999999997e-02
3.0000000000000000e+00 5.5988889999999999e-02 5.4940000000000003e-02 3.3264610000000000e-02 4.7814179999999998e-02 4.1830319999999997e-02 2.1218910000000001e-02
4.0000000000000000e+00 2.2986389999999999e-02 2.0477360000000000e-02 9.8261300000000006e-03 2.7827490000000000e-02 4.3216430000000000e-02 6.6077100000000000e-02
5.0000000000000000e+00 5.9860129999999998e-02 4.6084590000000002e-02 7.3999449999999994e-02 4.8328969999999999e-02 4.7895420000000001e-02 9.0629130000000002e-02
6.0000000000000000e+00 3.6839240000000002e-02 1.5593420000000000e-02 3.7074800000000000e-03 3.9728250000000000e-02 1.8411560000000000e-02 1.8518270000000000e-02
7.0000000000000000e+00 4.1311580000000001e-02 8.8085799999999999e-03 -1.7817409999999999e-02 1.2453320000000000e-02 -3.1335400000000002e-03 2.2509950000000001e-02
8.0000000000000000e+00 1.4110100000000001e-03 4.8844800000000001e-03 9.8154399999999999e-03 2.0748140000000002e-02 1.6853580000000000e-02 4.9667719999999999e-02
9.0000000000000000e+00 1.5530100000000000e-02 -3.0841000000000001e-04 2.2052920000000000e-02 1.2388669999999999e-02 -4.9351500000000001e-03 8.2694350000000000e-02
1.0000000000000000e+01 1.0464760000000000e-02 -1.0232100000000001e-03 3.0650299999999998e-03 2.8427740000000000e-02 1.2789960000000000e-02 7.5391710000000001e-02
1.1000000000000000e+01 1.1249459999999999e-02 -4.7969900000000001e-03 -6.5775399999999998e-03 1.7520060000000000e-02 1.2839250000000000e-02 5.7229439999999999e-02
1.2000000000000000e+01 1.7428539999999999e-02 -1.0797559999999999e-02 3.3295000000000000e-03 1.5910970000000000e-02 2.8449340000000000e-02 7.1709149999999999e-02
1.3000000000000000e+01 1.2469200000000000e-02 1.3420919999999999e-02 3.0389300000000000e-03 3.7291110000000002e-02 2.7463689999999999e-02 1.1813074000000000e-01
1.4000000000000000e+01 3.3744850000000000e-02 -8.5551599999999992e-03 6.4182900000000001e-03 3.5138160000000002e-02 -2.8232560000000000e-02 1.2345979000000000e-01
1.5000000000000000e+01 6.3712400000000002e-03 -2.6954100000000001e-03 5.5518499999999997e-03 3.3397139999999999e-02 -8.9819800000000005e-03 9.0593080000000006e-02
1.6000000000000000e+01 4.9012999999999999e-03 -1.5052500000000001e-03 -2.1356730000000001e-02 1.4822580000000000e-02 2.2161190000000001e-02 1.2347481000000000e-01
1.7000000000000000e+01 2.4849540000000000e-02 1.1162850000000000e-02 1.9871929999999999e-02 4.1694729999999999e-02 2.1855019999999999e-02 2.3457159999999999e-01
1.8000000000000000e+01 5.5484970000000002e-02 3.8613599999999999e-03 3.2377000000000003e-02 3.4261809999999997e-02 -2.8070899999999999e-03 1.3865865999999999e-01
1.9000000000000000e+01 7.4724990000000005e-02 8.3563100000000005e-03 -1.9234480000000002e-02 2.5920690000000000e-02 1.4954930000000000e-02 1.5192423999999999e-01
2.0000000000000000e+01 1.2514350000000000e-02 -9.5423200000000000e-03 2.4447699999999999e-02 5.9558119999999999e-02 3.8731380000000003e-02 1.2407823000000000e-01
2.1000000000000000e+01 3.4340240000000001e-02 1.8996170000000000e-02 6.8755079999999996e-02 7.0767549999999999e-02 5.2100680000000003e-02 2.6516819000000003e-01
2.2000000000000000e+01 5.8738310000000002e-02 5.5301899999999999e-03 1.0855380000000000e-02 3.0548610000000000e-02 -3.2544599999999998e-03 2.0276034000000001e-01
2.3000000000000000e+01 1.1316453000000000e-01 2.9810099999999999e-02 7.1438300000000003e-03 5.2336639999999997e-02 3.6197100000000003e-02 2.1081649000000000e-01
2.4000000000000000e+01 4.3067319999999999e-02 2.9819570000000000e-02 1.2137570000000000e-02 3.5025239999999999e-02 -3.4069599999999998e-02 1.5079119999999999e-01
2.5000000000000000e+01 9.9174780000000004e-02 3.7378830000000002e-02 9.2171110000000001e-02 9.0698210000000001e-02 4.3675249999999999e-02 3.6785006999999997e-01
2.6000000000000000e+01 1.6592953999999999e-01 3.0472579999999999e-02 7.4335529999999997e-02 1.0681738000000000e-01 -2.7548889999999999e-02 4.4306950000000001e-01
2.7000000000000000e+01 6.1656990000000002e-02 2.5064759999999998e-02 2.4982300000000002e-03 7.1748930000000002e-02 4.5501449999999999e-02 2.7825372999999998e-01
2.8000000000000000e+01 1.2854948999999999e-01 3.2270409999999999e-02 1.8906920000000001e-02 1.2253491000000000e-01 -4.0069300000000002e-02 4.4641198999999998e-01
2.9000000000000000e+01 8.0099779999999995e-02 1.0516889999999999e-02 6.8280370000000007e-02 1.2655010999999999e-01 5.6632500000000002e-02 4.5828094000000003e-01
