# L 100GHzx100GHz 100GHzx143GHz 100GHzxWL 143GHzx143GHz 143GHzxWL WLxWL
2.0000000000000000e+00 2.2332290000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.4216150000000003e-02 0.0000000000000000e+00 1.1412459999999999e-02
3.0000000000000000e+00 4.5032800000000001e-03 0.0000000000000000e+00 0.0000000000000000e+00 7.3104399999999996e-03 0.0000000000000000e+00 7.2615199999999996e-03
4.0000000000000000e+00 1.0047169999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.1020640000000000e-02 0.0000000000000000e+00 1.3631400000000000e-02
5.0000000000000000e+00 9.3079900000000004e-03 0.0000000000000000e+00 0.0000000000000000e+00 8.5498699999999993e-03 0.0000000000000000e+00 2.8856320000000001e-02
6.0000000000000000e+00 1.3428110000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.2589860000000000e-02 0.0000000000000000e+00 2.1755050000000001e-02
7.0000000000000000e+00 1.7524970000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.6248149999999999e-02 0.0000000000000000e+00 4.4938050000000000e-02
8.0000000000000000e+00 1.5931040000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.4512940000000000e-02 0.0000000000000000e+00 3.5995750000000000e-02
9.0000000000000000e+00 1.5243860000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.3729959999999999e-02 0.0000000000000000e+00 4.9580359999999997e-02
1.0000000000000000e+01 2.1373409999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.5833520000000000e-02 0.0000000000000000e+00 5.8310160000000000e-02
1.1000000000000000e+01 2.8215460000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.8579020000000002e-02 0.0000000000000000e+00 5.8800880000000000e-02
1.2000000000000000e+01 2.5568670000000002e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.9568780000000001e-02 0.0000000000000000e+00 8.2065970000000002e-02
1.3000000000000000e+01 3.1941190000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.0569489999999999e-02 0.0000000000000000e+00 8.1198770000000003e-02
1.4000000000000000e+01 3.0278860000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.2667039999999999e-02 0.0000000000000000e+00 9.8485050000000005e-02
1.5000000000000000e+01 2.7857020000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.3961079999999999e-02 0.0000000000000000e+00 1.1172124000000000e-01
1.6000000000000000e+01 3.2576300000000002e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.4967770000000000e-02 0.0000000000000000e+00 1.1841617000000000e-01
1.7000000000000000e+01 3.4262939999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.5260660000000001e-02 0.0000000000000000e+00 1.4119082999999999e-01
1.8000000000000000e+01 3.3947919999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.7708699999999999e-02 0.0000000000000000e+00 1.4849190000000001e-01
1.9000000000000000e+01 4.1986570000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.9781459999999999e-02 0.0000000000000000e+00 1.6880621000000001e-01
2.0000000000000000e+01 3.7656479999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 3.4152700000000001e-02 0.0000000000000000e+00 1.8726530999999999e-01
2.1000000000000000e+01 4.8073650000000002e-02 0.0000000000000000e+00 0.0000000000000000e+00 3.6516100000000003e-02 0.0000000000000000e+00 2.0070028000000001e-01
2.2000000000000000e+01 4.9942220000000002e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.2187320000000000e-02 0.0000000000000000e+00 2.2597196000000000e-01
2.3000000000000000e+01 5.4655009999999997e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.6010460000000003e-02 0.0000000000000000e+00 2.3906779000000000e-01
2.4000000000000000e+01 5.7598690000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.7589970000000002e-02 0.0000000000000000e+00 2.6355964999999998e-01
2.5000000000000000e+01 6.8275139999999998e-02 0.0000000000000000e+00 0.0000000000000000e+00 5.2543380000000001e-02 0.0000000000000000e+00 2.8658075999999999e-01
2.6000000000000000e+01 7.8500829999999994e-02 0.0000000000000000e+00 0.0000000000000000e+00 5.9674520000000002e-02 0.0000000000000000e+00 3.0612898999999999e-01
2.7000000000000000e+01 7.4858129999999995e-02 0.0000000000000000e+00 0.0000000000000000e+00 7.2412679999999993e-02 0.0000000000000000e+00 3.3609936000000001e-01
2.8000000000000000e+01 8.6480539999999995e-02 0.0000000000000000e+00 0.0000000000000000e+00 7.4374679999999999e-02 0.0000000000000000e+00 3.5503435999999999e-01
2.9000000000000000e+01 9.6825670000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00 8.8571109999999995e-02 0.0000000000000000e+00 3.8794309999999999e-01
