# L 100GHzx100GHz 100GHzx143GHz 100GHzxWL 143GHzx143GHz 143GHzxWL WLxWL
2.0000000000000000e+00 2.5519940000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.4585040000000001e-02 0.0000000000000000e+00 1.4821290000000001e-02
3.0000000000000000e+00 7.9169970000000006e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.6157490000000002e-02 0.0000000000000000e+00 1.2655629999999999e-02
4.0000000000000000e+00 2.4842170000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.6304480000000000e-02 0.0000000000000000e+00 1.2096110000000000e-02
5.0000000000000000e+00 2.7556430000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.6651750000000000e-02 0.0000000000000000e+00 2.1198270000000002e-02
6.0000000000000000e+00 1.7655680000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.5538030000000000e-02 0.0000000000000000e+00 1.5880760000000001e-02
7.0000000000000000e+00 1.4504909999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0701759999999999e-02 0.0000000000000000e+00 2.1312260000000000e-02
8.0000000000000000e+00 1.5725969999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0664780000000000e-02 0.0000000000000000e+00 1.8529629999999998e-02
9.0000000000000000e+00 1.8165029999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0688200000000000e-02 0.0000000000000000e+00 2.3467499999999999e-02
1.0000000000000000e+01 1.5393199999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0734980000000000e-02 0.0000000000000000e+00 3.0338489999999999e-02
1.1000000000000000e+01 1.7283099999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.1113760000000000e-02 0.0000000000000000e+00 3.4971210000000003e-02
1.2000000000000000e+01 1.5468670000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0157589999999999e-02 0.0000000000000000e+00 3.5775979999999999e-02
1.3000000000000000e+01 1.9838620000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 9.5377099999999996e-03 0.0000000000000000e+00 3.4517670000000000e-02
1.4000000000000000e+01 1.9618630000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 8.9209100000000006e-03 0.0000000000000000e+00 3.6755610000000001e-02
1.5000000000000000e+01 2.0417640000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 9.0104099999999999e-03 0.0000000000000000e+00 3.5144059999999998e-02
1.6000000000000000e+01 1.8037450000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0123040000000000e-02 0.0000000000000000e+00 3.8999680000000002e-02
1.7000000000000000e+01 1.6231150000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.4442830000000000e-02 0.0000000000000000e+00 3.9173310000000003e-02
1.8000000000000000e+01 1.7614359999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.5553470000000000e-02 0.0000000000000000e+00 4.9471569999999999e-02
1.9000000000000000e+01 1.8886239999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.1888299999999999e-02 0.0000000000000000e+00 5.0505979999999999e-02
2.0000000000000000e+01 2.1764660000000002e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.4992119999999999e-02 0.0000000000000000e+00 4.1340450000000001e-02
2.1000000000000000e+01 1.7259710000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.7242710000000001e-02 0.0000000000000000e+00 2.9650090000000000e-02
2.2000000000000000e+01 2.8709940000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 9.2526599999999994e-03 0.0000000000000000e+00 5.9674860000000003e-02
2.3000000000000000e+01 1.6307869999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.3691660000000000e-02 0.0000000000000000e+00 1.9489510000000002e-02
2.4000000000000000e+01 1.4248080000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0623830000000001e-02 0.0000000000000000e+00 6.9295339999999997e-02
2.5000000000000000e+01 3.0650469999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 9.8033400000000007e-03 0.0000000000000000e+00 4.0564440000000000e-02
2.6000000000000000e+01 1.0754870000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 7.3998199999999997e-03 0.0000000000000000e+00 2.7829420000000001e-02
2.7000000000000000e+01 1.8113460000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.4621100000000000e-03 0.0000000000000000e+00 1.9210530000000000e-02
2.8000000000000000e+01 1.9016109999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.9247800000000001e-03 0.0000000000000000e+00 0.0000000000000000e+00
2.9000000000000000e+01 4.4966499999999996e-03 0.0000000000000000e+00 0.0000000000000000e+00 8.1031400000000000e-03 0.0000000000000000e+00 3.3714000000000001e-02
