# L 100GHzx100GHz 100GHzx143GHz 100GHzxWL 143GHzx143GHz 143GHzxWL WLxWL
2.0000000000000000e+00 1.5715200000000001e-03 0.0000000000000000e+00 0.0000000000000000e+00 6.3394000000000005e-04 0.0000000000000000e+00 6.4407300000000004e-03
3.0000000000000000e+00 5.3213570000000002e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.5955879999999999e-02 0.0000000000000000e+00 1.1825520000000001e-02
4.0000000000000000e+00 1.1730400000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 9.4998099999999992e-03 0.0000000000000000e+00 6.5079900000000000e-03
5.0000000000000000e+00 9.9216500000000006e-03 0.0000000000000000e+00 0.0000000000000000e+00 8.3311900000000005e-03 0.0000000000000000e+00 7.4830000000000001e-03
6.0000000000000000e+00 9.6737300000000002e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.5684600000000009e-03
7.0000000000000000e+00 8.9694700000000002e-03 0.0000000000000000e+00 0.0000000000000000e+00 3.3112100000000002e-03 0.0000000000000000e+00 1.4758290000000000e-02
8.0000000000000000e+00 9.1186800000000005e-03 0.0000000000000000e+00 0.0000000000000000e+00 4.4382600000000003e-03 0.0000000000000000e+00 2.0348290000000002e-02
9.0000000000000000e+00 1.0878330000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 5.9631299999999996e-03 0.0000000000000000e+00 1.4817840000000001e-02
1.0000000000000000e+01 8.7303699999999995e-03 0.0000000000000000e+00 0.0000000000000000e+00 4.5884699999999999e-03 0.0000000000000000e+00 2.0432889999999999e-02
1.1000000000000000e+01 1.1164940000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.9032600000000004e-03 0.0000000000000000e+00 3.4036549999999999e-02
1.2000000000000000e+01 1.4739320000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 3.5786799999999999e-03 0.0000000000000000e+00 1.2500819999999999e-02
1.3000000000000000e+01 1.2785319999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 6.2553699999999997e-03 0.0000000000000000e+00 1.4422410000000000e-02
1.4000000000000000e+01 6.4947700000000004e-03 0.0000000000000000e+00 0.0000000000000000e+00 4.0993300000000000e-03 0.0000000000000000e+00 1.9449649999999999e-02
1.5000000000000000e+01 6.4504599999999999e-03 0.0000000000000000e+00 0.0000000000000000e+00 7.9807300000000001e-03 0.0000000000000000e+00 7.0915300000000004e-03
1.6000000000000000e+01 8.4208600000000005e-03 0.0000000000000000e+00 0.0000000000000000e+00 4.2938300000000002e-03 0.0000000000000000e+00 3.1630900000000003e-02
1.7000000000000000e+01 4.8898300000000004e-03 0.0000000000000000e+00 0.0000000000000000e+00 8.9043400000000002e-03 0.0000000000000000e+00 7.9798000000000004e-03
1.8000000000000000e+01 1.1612000000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 5.4336300000000001e-03 0.0000000000000000e+00 0.0000000000000000e+00
1.9000000000000000e+01 9.0269500000000006e-03 0.0000000000000000e+00 0.0000000000000000e+00 4.2580800000000000e-03 0.0000000000000000e+00 7.7046199999999997e-03
2.0000000000000000e+01 7.0181100000000001e-03 0.0000000000000000e+00 0.0000000000000000e+00 7.0282000000000005e-04 0.0000000000000000e+00 9.2417899999999997e-03
2.1000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.8969700000000001e-02
2.2000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0275740000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00
2.3000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
2.4000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
2.5000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4.2213500000000001e-02
2.6000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
2.7000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
2.8000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
2.9000000000000000e+01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
