# L 100GHzx100GHz 100GHzx143GHz 100GHzxWL 143GHzx143GHz 143GHzxWL WLxWL
2.0000000000000000e+00 2.6794080000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 5.0634070000000003e-02 0.0000000000000000e+00 1.1601920000000000e-02
3.0000000000000000e+00 -5.4560000000000003e-04 0.0000000000000000e+00 0.0000000000000000e+00 4.2376200000000001e-03 0.0000000000000000e+00 7.0723299999999999e-03
4.0000000000000000e+00 6.6337399999999999e-03 0.0000000000000000e+00 0.0000000000000000e+00 8.8360299999999999e-03 0.0000000000000000e+00 1.4098420000000000e-02
5.0000000000000000e+00 5.8027199999999999e-03 0.0000000000000000e+00 0.0000000000000000e+00 5.7424700000000004e-03 0.0000000000000000e+00 2.9867169999999998e-02
6.0000000000000000e+00 9.8875800000000000e-03 0.0000000000000000e+00 0.0000000000000000e+00 1.0022280000000000e-02 0.0000000000000000e+00 2.1766979999999998e-02
7.0000000000000000e+00 1.3620169999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.3007039999999999e-02 0.0000000000000000e+00 4.4710270000000003e-02
8.0000000000000000e+00 1.1469109999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.1888660000000001e-02 0.0000000000000000e+00 3.7428509999999998e-02
9.0000000000000000e+00 1.1233920000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.0139600000000000e-02 0.0000000000000000e+00 4.8529129999999997e-02
1.0000000000000000e+01 1.7241019999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.1910530000000001e-02 0.0000000000000000e+00 5.6936189999999998e-02
1.1000000000000000e+01 2.2480370000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.3821350000000000e-02 0.0000000000000000e+00 5.7812669999999997e-02
1.2000000000000000e+01 1.8647930000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.4623450000000000e-02 0.0000000000000000e+00 8.3879280000000001e-02
1.3000000000000000e+01 2.5884370000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.5261479999999999e-02 0.0000000000000000e+00 8.2793329999999998e-02
1.4000000000000000e+01 2.4540989999999999e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.8347539999999999e-02 0.0000000000000000e+00 9.6341430000000006e-02
1.5000000000000000e+01 2.2751230000000001e-02 0.0000000000000000e+00 0.0000000000000000e+00 1.9424950000000000e-02 0.0000000000000000e+00 1.1553832999999999e-01
1.6000000000000000e+01 3.0415720000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.2289580000000000e-02 0.0000000000000000e+00 1.1638008000000000e-01
1.7000000000000000e+01 3.1511240000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.3065200000000001e-02 0.0000000000000000e+00 1.4425126999999999e-01
1.8000000000000000e+01 3.3426249999999998e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.5410019999999998e-02 0.0000000000000000e+00 1.4908123000000001e-01
1.9000000000000000e+01 4.1767949999999998e-02 0.0000000000000000e+00 0.0000000000000000e+00 2.7512020000000002e-02 0.0000000000000000e+00 1.7226621000000000e-01
2.0000000000000000e+01 3.7587750000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00 3.2509839999999998e-02 0.0000000000000000e+00 1.8353984000000001e-01
2.1000000000000000e+01 4.9124780000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 3.4063400000000001e-02 0.0000000000000000e+00 2.0119801000000001e-01
2.2000000000000000e+01 4.8781550000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 3.7085849999999997e-02 0.0000000000000000e+00 2.2993564999999999e-01
2.3000000000000000e+01 5.3547570000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.1657479999999997e-02 0.0000000000000000e+00 2.4267363000000000e-01
2.4000000000000000e+01 5.5611200000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.1380340000000002e-02 0.0000000000000000e+00 2.7226278999999998e-01
2.5000000000000000e+01 6.5267389999999995e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.4698570000000000e-02 0.0000000000000000e+00 2.7776991000000001e-01
2.6000000000000000e+01 7.3756459999999996e-02 0.0000000000000000e+00 0.0000000000000000e+00 4.8537820000000002e-02 0.0000000000000000e+00 3.0480001000000001e-01
2.7000000000000000e+01 6.4707399999999998e-02 0.0000000000000000e+00 0.0000000000000000e+00 5.9016300000000001e-02 0.0000000000000000e+00 3.3180862000000000e-01
2.8000000000000000e+01 7.3110449999999993e-02 0.0000000000000000e+00 0.0000000000000000e+00 5.7184829999999999e-02 0.0000000000000000e+00 3.5190999000000001e-01
2.9000000000000000e+01 7.6370679999999996e-02 0.0000000000000000e+00 0.0000000000000000e+00 6.4903420000000003e-02 0.0000000000000000e+00 3.8101118000000000e-01
